epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.18103333,2.2396140143076577,0.02,0.5767,1.901538497543335
1,0.48201665,1.5140922313054404,0.02,0.8357,0.6591547541618347
2,0.7108667,0.8588214089393615,0.02,0.9082,0.3461838143348694
3,0.80011666,0.6226932765007019,0.02,0.9281,0.2604810219049454
4,0.84543335,0.5007321681658427,0.02,0.9415,0.20837913905382158
5,0.86965,0.42577990260124204,0.02,0.9483,0.17797164776921273
6,0.88925,0.37316880466143293,0.01,0.9533,0.15764347446560859
7,0.8961667,0.35373221542040506,0.01,0.9559,0.14902821188569068
8,0.90108335,0.3366640901406606,0.01,0.9594,0.1411944633066654
9,0.90743333,0.3173767234484355,0.01,0.9601,0.13177194253504276
10,0.91148335,0.30741166720390317,0.01,0.9621,0.1260422060251236
11,0.91613334,0.2910844360987345,0.01,0.9628,0.12332935859262943
12,0.92,0.2798668440500895,0.01,0.9651,0.11794991525262594
13,0.92395,0.26790471857388815,0.01,0.9672,0.11082399341762066
14,0.92665,0.2574989151954651,0.01,0.9685,0.11191504504680634
15,0.92896664,0.25126028734842937,0.01,0.9685,0.10503899703025818
16,0.93116665,0.2477226792017619,0.01,0.9676,0.10895563044846057
17,0.93266666,0.23879304014046987,0.01,0.9704,0.09859578647017479
18,0.93563336,0.2294366691191991,0.01,0.9709,0.09441123294606805
19,0.9367833,0.22541218458016712,0.01,0.9716,0.09357985413335264
